Part Name,Quantity,Cost Per Pack,Total Cost for All Packs,Purchase Link
3/8 inch Expandable Wire Sleeving (100 ft),1,15.99,15.99,https://www.amazon.com/100ft-Expandable-Braided-Sleeving-Sleeve/dp/B074GPT9Q5/ref=sr_1_3?crid=3UU8ULSAGJ28K&dib=eyJ2IjoiMSJ9.jGWBcpfwuoZJEUA0rTWVtvCfV6wd0-PnNeksUJHEdJtRsNmjGKThpgheUXKEO4paqa2Y2-ObnVa3EgZarmPqN2CQSRYElq6jjRpo740lKCAjq4K5HLJtGjj2dyVNNtRe0jDYeqsexY4FpXcF_-Xs-gTJFXM6k2idbYzjwHMj-l_hTlnxjVETEg06lGS2toaniNLYQ4Zw_kr7AdsuIvM75lKjpdfal72AH-ytPv4peEQ.T7-GzJY8kAKGrDhkz-rypT1V2mX5u6EH8Szw5LMsCB0&dib_tag=se&keywords=expandable%2Bwire%2Bsleeve%2B3%2F8&qid=1788311428&sprefix=expandable%2Bwire%2Bsleeve%2B3%2F8%2Caps%2C159&sr=8-3&th=1
PETG Filament (4x 1 kg rolls),1,42.99,42.99,https://www.amazon.com/ELEGOO-Filament-Plastic-Spool-Black/dp/B0D86BXVL6/ref=sr_1_5?crid=PPJ5WV5MGPUK&dib=eyJ2IjoiMSJ9.i78_ibXqq5Mej3tF03Ukw31wizJA1hJmkKDaGC5e-mOog3C36EKSu2DWTv6VZl4IKmIY6Nmjov_bWAIgG530HRLo081-bpKS7zwGP2RfEKMZ-Car93rJk-BD7fLQAR9djt-hqDFoE3FjSxlTQTo5d41EJ-8xLacENTFw8OVLPWazxShlVu4MhBE5pcxfmQcWrFB3Ztj_zzcphkHnyPQAcxMwK5ZqVRCy2m3VVGkGWow.XQFqAlxyoXdU7MJVvTmLKp9lS9H0pNUhMTR1Pgt7SPc&dib_tag=se&keywords=petg%2Bfilament%2B1.75%2Bbulk&qid=1788402160&sprefix=petg%2Bfilament%2B1.75%2Bbulk%2Caps%2C178&sr=8-5&th=1
12V 29A Power Supply (1 pack),1,26,26,https://www.amazon.com/LRS-350-12-Switching-Household-Industrial-Automation/dp/B07WHJF1Q8/ref=sr_1_1?crid=1IPAXGQ0821AG&dib=eyJ2IjoiMSJ9.aS5U4loezY9gn4ZyBBXSsfEm1m7cNqY5mQJ3Tfmaq95tBk5XD5qga9e_Tz4MYMAqSlDuyJ0Kha7fZ49ipR93G00LZFsGxwq8hmAGqBwZFfEO27emAOUIY3LG3iHXthwzvjnvFay-NrLIZApT9T1O1jP8EL-DxkCU8HKnWgE7C77Ss9BdfvQVucSDwqK2B-Q2DWVqXjCilhcRXMMGN_cfgXyGZCLggg8qWDZJ9_ymi-I.97V4N7xRmHf0BHn0SB0Oeo7v7_wLLevC3z0Hs9aCgx0&dib_tag=se&keywords=meanwell+12v+power+supply&qid=1788481626&sprefix=meanwe%2Caps%2C185&sr=8-1
AC power cord (1 pack),1,6.94,6.94,https://www.amazon.com/Amazon-Basics-Computer-Monitor-Replacement/dp/B072BYGKZZ/ref=sr_1_3?crid=1V5ZFG3QK68NF&dib=eyJ2IjoiMSJ9.T6c28mV2SVzYfcdaKurq8cPgs5mL2SKpGt1GzDcuQU7g-6v2K_PKkEV8Nva7KafeU2hfEej_VigqRK73fwe6nl2eS5OL7cEHs-9akGGFF_CLBGSB9xSjE1BtXizr9fA6EzV9xSSMEhn5kt0RxYikPfgEB3YWNYZr2XBCjoIYCtfu7hMQ7H6UafZdhxJ-KeXyBZ0RCze2WWew5TKF5vnKchxpzNkCBEeo43uYyHFwIVg.wLkjyK5qY-VYj6rqxjZfq-8H_b0L0nvFYG9gJB_4hXM&dib_tag=se&keywords=AC%2Bpower%2Bcord&qid=1788483332&sprefix=ac%2Bpower%2Bcord%2Caps%2C171&sr=8-3&th=1
WAGO 221 lever nuts (28 pack),1,20.95,20.95,https://www.amazon.com/Compact-Splicing-Connector-Assortment-221-2401/dp/B0CJ5QF3VX/ref=sr_1_2?crid=1BW9KMYI982V9&dib=eyJ2IjoiMSJ9.SjzHXLa7FfLMIf1akcsmidKmHKklMrr4b2weTcpcWDTb5ZQLaTlQI5ChmRjLligrsrMhZEQ0AP6-sVDnHMWI4xqlJWyaA-XbBYlH4zQNJc2-WqzGDtrbxMxDI9qYxvIF1cfjqTYfCN077eb45CWGP3junZd02vLaKePZw0eiUQNda23K2Es-A04l_YtTZgxfZNREVeGwb6BdHXltGTVlB4SqsPCuZ4f0l6G8EFrosE56jeDPj812y4f6jlfvg2OmccznpooUjJ2nXSSNun-RmDCZHUyOSYmV6AWoAuSI1fg.uiONkz73aR7ukJ6kywzqOibqxRc9sKaYambgLzsCDtY&dib_tag=se&keywords=wago%2B221%2B2%2Band%2B3%2Bport&qid=1788482450&sprefix=wago%2B221%2B2%2Band3%2Bport%2Caps%2C189&sr=8-2&th=1
"1000µF electrolytic capacitor, 25V (10 pack)",1,6.99,6.99,https://www.amazon.com/10x20mm-Electrolytic-Capacitor-Aluminum-Capacitors/dp/B0F8C1VMT6/ref=sr_1_1_sspa?crid=ZE448X5P53G0&dib=eyJ2IjoiMSJ9.eOkxcpUObssSWCLnsn267w3dqE4661XmR3KIPGUyivwFSXt4KG0ObT3cwUt4epyrwjlxgXxz_msIbeZ_kgEE5BFqrW0xyMlJtkM9GGeX6VQjFo119JpSqxkfGIuGskcFalVOBRG8od2Sy7Va7smDDCwZ90G_RdVKUy4b-SopJN_W4lf1ZMFJA0utLX26_o-DWC6rZusrEGwACD_74DaWjcrGUxQ2ulapNNjB9FXJow8.srKh5k_bdhCmrNU7hcfYFgpj3WvoSPkihpxH3y5Qu_8&dib_tag=se&keywords=1000%2Buf%2B25v%2Bcapacitor&qid=1788483138&sprefix=1000%2BuF%2B%2Caps%2C176&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
Bootlace Ferrules and Crimper (2000 pack),1,23.99,23.99,https://www.amazon.com/Ferrule-Crimping-Connectors-Preciva-Self-adjustable/dp/B0B3N24C7Q/ref=sr_1_38?dib=eyJ2IjoiMSJ9.kfuq7i2fmUt1bCl3CFW2e_r9bswJQuqftuXPgGrpfnY3xLaenCqcv0o5v-OKemPtaCB5-LJy5CzPbBfyWMI2SJy_X2YFYOacbsxy02p8XCKM3O56AVXr4m06VQfCp7IPrNJt0jRkfiuuI_HqZ-EHPXZfWc4dPQe08-Y-f6qMs4vMwek-JdVafVXCZdwnnOCqxYoOxj-RgBGHZOL1YZgH0sYAREm30HZiQmoqhaQEbsxMyX3vuYoZNXyCmmH4srE5d36oACinkNXrleaZy8d-qc9JhQC0Mn9xMsc5aza9iik.3raoOl7VcqtSUXO7k3TS6JAy0r2rmmFuCufjFN6mq3w&dib_tag=se&keywords=bootlace%2Bferrules&qid=1788482796&refinements=p_72%3A1248909011&rnid=1248907011&sr=8-38&th=1
Servo cables 300 mm (6 pack),1,8.99,8.99,https://www.amazon.com/waveshare-5264-3PIN-Servo-Compatible-servos/dp/B0GVDPPF72/ref=sr_1_7?crid=901K6DV08Z8K&dib=eyJ2IjoiMSJ9.7_DJqPWUxgZp7OxebN5vbZp92xBOJW4hs2IjI_kgd9EOACF-I9mXkr4MS1tUYc-A3rJmfuYNcBh41ZsszotIOqr_MV29YfDhqkHjJ_YO0KOF01-K_LRRtNUeoBA1DEGZ7RpeC1BZMBC_OCqDknXEj8kpHIQNIBhdUhVOVjk3bk-j-3TYhe5XIW8C4vjMUKM3PGE74S6sdxbuCGltaqLrqZzkaLMCXaLLQTmWOD00q3H6MrA5PqZ0pYDWdPjo7JASrj6Jh3cLaVEeqIu4FOg3G8MyCrpDS7fZh568rgfoclc.NbqBaRf8IZ5Xfb-HybgM03jOf4XrlSnZlN4F-bITPo4&dib_tag=se&keywords=5264+3-pin+servo+cables&qid=1788482033&sprefix=5264+3+pin+servo%2Caps%2C156&sr=8-7
Servo Cables 300 and 900 mm mix pack (3 of each),1,9.99,9.99,https://www.amazon.com/waveshare-5264-3PIN-Servo-Compatible-servos/dp/B0GVDFXF7Q/ref=sr_1_6?crid=901K6DV08Z8K&dib=eyJ2IjoiMSJ9.7_DJqPWUxgZp7OxebN5vbZp92xBOJW4hs2IjI_kgd9EOACF-I9mXkr4MS1tUYc-A3rJmfuYNcBh41ZsszotIOqr_MV29YfDhqkHjJ_YO0KOF01-K_LRRtNUeoBA1DEGZ7RpeC1BZMBC_OCqDknXEj8kpHIQNIBhdUhVOVjk3bk-j-3TYhe5XIW8C4vjMUKM3PGE74S6sdxbuCGltaqLrqZzkaLMCXaLLQTmWOD00q3H6MrA5PqZ0pYDWdPjo7JASrj6Jh3cLaVEeqIu4FOg3G8MyCrpDS7fZh568rgfoclc.NbqBaRf8IZ5Xfb-HybgM03jOf4XrlSnZlN4F-bITPo4&dib_tag=se&keywords=5264+3-pin+servo+cables&qid=1788482033&sprefix=5264+3+pin+servo%2Caps%2C156&sr=8-6
Inline fuse holder (6 pack),1,5.59,5.59,https://www.amazon.com/Inline-VANTRONIK-Waterproof-Standard-standard/dp/B081YDV8PS/ref=sr_1_8?crid=2CLMQOMIJYQKH&dib=eyJ2IjoiMSJ9.Xx96m73kts_iMVlHDzYwfvE3gIpvSZFxK_t94JJzb1AMHyqM0A53uYf-wEmy6DN04XURpVFbXq-M0u_uWA0GpxGgbVIB9aAm_vhpK8YY3y0lZ3AE_x89HjH9113_78RuFjRHP9qNhN4N2hiumrpLTWDoTkHP4E9I2mcI_Ynzp0sN5EqDD0eO3K5HOHKDO3M5VY6Yw7i016HI3y3f5Yn9Ro8xPXOeHqbonwVwwquB9iU.YrOParga4fr049m6lK0NVoxk53ipplV3A39fkCUR26A&dib_tag=se&keywords=inline%2Bblade%2Bfuse%2Bholder%2B14%2Bawg%2Bcopper&qid=1788143028&sprefix=inline%2Bblade%2Bfuse%2Bholder%2B14%2Bawg%2Bcopper%2Caps%2C151&sr=8-8&th=1
